"호선","상/하행선","요일","전철역코드","외부코드","전철역명","첫차시간","첫차출발역코드","첫차도착역코드","첫차출발역명","첫차도착역명","막차시간","막차출발역코드","막차도착역코드","막차출발역명","막차도착역명"
"02호선","1","1","0247","234-1","도림천","051700","0247","0200","도림천","까치산","245300","0234","0200","신도림","까치산"
"02호선","1","2","0247","234-1","도림천","051700","0247","0200","도림천","까치산","234900","0234","0200","신도림","까치산"
"02호선","1","1","0248","234-2","양천구청","052000","0247","0200","도림천","까치산","245600","0234","0200","신도림","까치산"
"02호선","1","2","0248","234-2","양천구청","052000","0247","0200","도림천","까치산","235200","0234","0200","신도림","까치산"
"02호선","1","2","0249","234-3","신정네거리","052330","0247","0200","도림천","까치산","235530","0234","0200","신도림","까치산"
"02호선","1","1","0249","234-3","신정네거리","052330","0247","0200","도림천","까치산","245930","0234","0200","신도림","까치산"
"02호선","2","2","0211","211","성수","052800","0211","0246","성수","신설동","235100","0211","0246","성수","신설동"
"02호선","2","3","0211","211","성수","052800","0211","0246","성수","신설동","235100","0211","0246","성수","신설동"
"02호선","2","1","0211","211","성수","053000","0211","0246","성수","신설동","245100","0211","0246","성수","신설동"
"02호선","1","3","0246","211-4","신설동","053000","0246","0211","신설동","성수","235100","0246","0211","신설동","성수"
"02호선","1","2","0246","211-4","신설동","053000","0246","0211","신설동","성수","235100","0246","0211","신설동","성수"
"02호선","1","1","0246","211-4","신설동","053000","0246","0211","신설동","성수","245100","0246","0211","신설동","성수"
"02호선","2","1","0219","219","삼성","053000","0219","0211","삼성","성수","244400","0211","0211","성수","성수"
"02호선","2","2","0219","219","삼성","053000","0219","0211","삼성","성수","234400","0211","0211","성수","성수"
"02호선","2","3","0219","219","삼성","053000","0219","0211","삼성","성수","234400","0211","0211","성수","성수"
"02호선","1","2","0202","202","을지로입구","053000","0202","0211","을지로입구","성수","234500","0211","0211","성수","성수"
